PM2.5,PM10,NO,NO2,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI_Bucket
29.12,48.46,12.49,14.06,11.88,0.26,14.42,9.09,4.03,1.1,12.32,3
25.95,51.61,16.38,14.3,13.78,0.08,11.39,13.14,4.32,1.18,13.25,0
17.41,41.49,9.36,9.96,10.51,0.35,12.07,14.03,3.58,1.09,8.2,0
23.92,45.63,8.83,10.22,10.46,0.51,21.06,11.71,3.73,1.13,5.79,0
16.58,37.38,9.06,9.41,10.23,0.1,9.62,18.66,3.33,1.12,4.83,0
24.34,49.36,9.15,9.82,10.23,0.54,5.44,16.52,3.32,1.11,8.31,0
41.6,63.19,7.75,9.07,10.07,0.54,5.36,13.28,4.21,1.16,3.18,3
31.11,54.02,8.11,9.13,10.09,0.24,4.81,10.51,3.88,1.09,8.74,3
33.02,56.3,8.78,9.18,10.12,0.28,5.25,16.48,3.67,1.15,12.32,3
27.95,50.61,7.85,8.96,10.06,0.5,5.53,17.22,3.35,1.13,12.05,3
27.18,64.55,8.85,8.96,10.13,0.48,2.96,14.03,3.75,1.11,13.8,3
21.42,44.31,8.6,9.28,10.27,0.15,5.62,12.0,3.85,1.16,4.09,3
21.94,49.35,8.25,9.3,10.06,0.51,7.89,13.87,3.59,1.13,2.47,0
27.52,52.67,8.47,9.0,10.12,0.49,4.6,14.89,3.32,1.11,3.37,3
32.26,59.32,7.63,9.02,10.05,0.27,7.12,12.27,3.51,1.14,3.88,3
20.54,44.11,9.32,8.87,10.08,0.28,6.38,14.61,2.8,1.12,4.31,3
23.62,49.13,12.23,9.02,10.42,0.76,5.33,10.8,2.93,1.13,2.0,0
23.28,50.89,13.5,9.19,10.72,0.62,5.42,10.12,3.24,1.13,1.98,3
22.43,46.17,13.5,9.19,10.72,0.57,5.57,10.14,3.0,1.1,2.7,0
19.43,39.75,13.5,9.19,10.72,0.42,6.13,14.29,3.16,1.13,2.0,0
11.69,37.87,13.5,9.19,10.72,0.56,9.05,16.87,2.86,1.13,2.15,0
16.58,35.71,13.46,9.16,10.68,0.29,6.64,18.05,2.74,1.06,2.92,0
25.06,53.57,13.5,9.19,10.72,0.53,6.39,24.63,3.15,1.14,2.0,0
42.78,75.93,13.3,9.07,10.76,0.29,6.24,25.9,3.16,1.14,2.0,3
34.69,70.15,12.91,8.91,10.92,0.22,6.12,22.01,2.63,1.13,2.0,3
34.9,72.3,13.1,8.83,11.05,0.24,9.0,28.31,2.25,1.02,2.0,3
42.01,80.46,13.17,8.87,11.03,0.28,5.79,24.41,2.43,1.12,2.0,3
36.3,63.21,14.22,9.14,11.17,0.55,6.49,18.33,2.49,1.13,2.0,3
44.57,73.97,13.1,8.95,11.12,0.18,8.7,19.26,2.76,1.12,1.98,3
35.47,62.21,14.53,9.47,11.18,0.3,5.48,20.87,2.2,1.1,1.98,3
37.27,62.08,22.98,11.54,12.7,0.47,6.96,18.45,2.12,1.11,2.0,3
42.27,66.27,21.96,19.49,11.58,0.61,6.46,19.43,2.34,1.12,2.0,3
41.31,67.58,13.2,8.82,11.05,0.38,5.8,17.12,2.5,1.12,2.0,3
29.85,53.6,13.17,8.92,11.09,0.57,9.33,15.45,2.21,1.11,2.0,3
41.67,71.05,13.23,8.81,11.06,1.49,21.08,29.75,2.45,1.42,1.96,3
43.4,142.24,13.25,8.81,11.07,0.82,5.98,34.02,1.99,1.11,2.0,1
20.82,36.97,13.25,8.81,11.07,0.68,5.7,21.35,1.72,1.1,2.0,3
32.17,53.74,13.24,8.81,11.07,0.94,6.19,13.45,1.79,1.09,1.98,3
32.83,58.77,13.26,8.77,11.08,1.0,6.3,13.84,1.97,1.11,2.0,3
28.54,56.86,16.3,12.06,11.66,0.84,5.78,14.57,2.03,1.11,2.0,3
38.61,76.3,22.78,16.01,12.24,1.17,7.33,17.04,2.06,1.1,1.98,3
39.22,75.57,14.89,11.7,9.68,0.94,9.5,14.2,2.08,1.13,2.0,3
41.36,79.85,13.16,11.2,9.48,0.3,9.68,15.6,2.04,1.11,2.0,3
40.96,75.26,13.75,10.7,9.46,0.86,9.26,19.2,1.9,1.11,2.0,3
35.44,63.1,13.54,10.91,9.48,1.13,12.01,29.03,1.74,1.1,2.0,3
45.56,70.58,17.74,14.37,9.51,1.52,16.32,19.24,1.92,1.18,1.98,1
42.86,69.71,16.53,10.58,9.61,0.67,7.64,22.4,2.07,1.1,1.98,3
33.95,61.35,18.8,17.21,10.34,0.47,12.85,24.2,1.92,1.08,1.96,3
37.32,65.85,15.01,11.66,9.59,0.09,15.59,28.21,2.02,1.11,2.0,3
43.51,74.09,13.95,10.94,9.55,0.35,12.01,26.59,2.04,1.22,2.0,3
31.24,54.09,14.64,11.3,9.65,1.37,15.55,23.48,1.78,1.1,2.0,3
27.76,52.71,14.0,11.15,9.29,1.29,20.75,24.46,1.85,1.11,2.0,3
33.91,61.33,13.95,11.05,9.45,1.42,43.86,21.75,1.93,1.08,1.95,3
46.92,76.58,13.6,10.93,9.62,0.69,41.56,36.57,2.25,1.11,2.0,3
29.63,55.14,13.39,10.91,9.5,0.51,6.26,32.18,1.83,1.15,1.98,3
29.2,55.32,13.75,10.56,9.34,0.6,10.52,27.3,1.96,1.11,2.0,3
60.23,82.57,13.29,10.91,9.46,1.17,20.53,25.56,2.18,1.11,2.0,3
78.08,97.22,13.34,10.88,9.51,0.96,10.46,13.97,2.18,1.08,1.95,1
35.0,62.07,13.04,10.44,9.32,0.81,13.46,11.17,1.94,1.1,1.98,3
21.75,50.58,13.42,10.49,9.41,0.68,8.25,11.7,1.81,1.11,2.0,3
12.58,41.81,12.94,10.51,9.34,0.57,9.96,14.39,1.68,1.09,1.98,3
16.26,48.02,13.12,10.54,9.32,0.56,16.98,11.52,1.66,1.1,2.0,0
18.15,51.03,13.16,10.58,9.36,0.62,21.48,15.92,1.72,1.11,2.0,3
27.76,65.44,13.38,10.66,9.41,0.82,49.41,18.07,1.88,1.07,1.99,3
28.07,69.46,12.93,10.32,9.29,0.58,10.21,21.01,2.58,1.09,2.93,3
24.0,51.78,13.19,10.56,9.32,0.09,6.6,15.08,3.58,1.18,2.91,3
30.18,54.28,12.51,10.3,8.98,0.21,4.8,27.04,4.02,1.19,2.15,3
66.88,95.67,11.96,12.09,30.09,0.32,4.7,39.06,5.13,1.2,1.98,3
34.53,75.78,10.57,11.41,30.69,0.23,3.05,36.75,3.45,1.15,2.0,3
48.2,73.6,12.29,11.35,31.13,0.28,1.51,35.6,4.2,1.18,2.0,1
47.82,71.06,27.37,12.56,37.76,0.33,4.19,32.11,3.2,1.07,2.48,3
36.76,64.47,10.5,11.64,30.77,0.31,1.64,42.89,3.24,1.15,2.0,3
38.85,74.0,11.12,11.53,30.37,0.39,11.45,18.75,1.84,2.59,1.88,3
22.66,54.08,11.13,11.53,30.36,0.63,9.21,20.6,2.01,3.51,2.0,3
42.86,107.14,11.16,11.51,30.36,0.52,7.06,24.61,2.21,3.67,2.0,3
62.48,136.27,11.15,11.51,30.36,0.54,7.47,27.11,2.31,3.76,2.0,1
80.27,181.64,11.27,14.51,29.79,0.54,12.37,22.51,2.36,3.33,1.96,1
96.33,172.08,11.63,18.14,28.99,0.46,13.85,16.81,2.9,3.57,1.96,2
84.31,132.9,11.04,11.56,31.4,0.36,13.78,22.45,2.49,3.3,1.92,1
90.71,135.6,12.5,13.12,31.44,0.87,15.28,19.52,3.07,3.83,1.96,1
107.98,161.15,11.28,8.57,32.46,0.56,15.87,19.54,3.09,3.77,1.98,2
116.05,181.67,13.78,9.11,32.83,0.79,17.71,19.78,3.39,3.83,2.03,2
249.1,303.33,43.34,19.85,20.44,0.31,34.17,17.9,3.43,4.01,2.06,5
111.47,189.73,29.45,10.03,13.06,0.46,11.65,18.13,3.7,4.4,2.0,5
127.13,245.27,17.07,9.78,13.16,0.57,13.88,21.7,2.92,2.91,1.64,2
139.65,226.33,17.01,10.01,13.1,0.31,10.92,16.02,3.44,4.23,1.98,5
154.49,235.28,17.73,9.94,12.81,0.37,19.27,15.38,3.53,4.21,2.0,5
110.95,181.95,17.66,9.91,12.97,0.52,10.06,11.35,2.69,3.27,2.0,5
155.83,305.4,17.13,10.98,13.26,0.34,9.75,14.51,2.75,3.41,2.0,5
104.21,207.47,18.27,10.64,12.38,0.71,12.97,12.72,1.79,2.42,1.84,2
97.09,186.99,41.45,32.85,24.67,0.53,10.5,16.23,2.2,2.58,1.98,2
137.13,221.46,16.97,9.95,12.99,0.48,10.68,18.85,2.14,2.49,2.0,2
34.94,71.87,17.16,9.95,13.01,0.55,8.74,15.72,1.59,1.94,1.98,2
24.18,61.24,17.21,10.04,13.03,0.8,10.71,16.33,1.56,1.99,2.0,3
42.84,81.33,17.28,10.04,13.0,0.78,9.2,12.92,2.02,2.7,2.0,3
84.92,143.08,17.28,10.24,13.05,0.41,10.17,22.42,2.18,2.92,2.0,1
84.63,158.85,17.16,10.25,13.06,0.8,11.04,27.87,2.16,2.65,2.0,1
168.71,313.31,17.19,10.31,12.92,0.78,12.55,19.71,2.74,3.16,2.0,2
189.44,339.69,17.22,10.0,13.0,0.48,16.3,15.22,3.13,3.65,2.0,5
148.61,260.33,17.22,10.09,12.99,0.56,20.51,10.01,2.81,3.2,2.0,5
103.87,180.68,17.23,10.0,12.98,0.65,29.92,9.71,2.41,2.72,2.0,5
86.49,164.0,17.17,9.91,13.0,0.36,13.01,11.08,2.31,3.22,2.0,2
42.18,105.92,17.22,10.01,12.99,0.66,7.93,16.02,1.92,3.16,2.0,1
101.44,190.56,17.24,10.01,13.01,0.65,11.37,20.02,2.12,2.83,1.98,1
147.55,263.97,17.23,10.0,13.0,0.56,11.86,12.65,3.55,4.6,2.01,5
91.41,253.95,17.22,9.98,13.0,0.47,13.04,13.14,3.38,4.5,2.01,2
112.55,180.08,13.18,9.99,12.99,0.66,18.42,10.24,2.55,2.93,2.0,2
57.31,122.03,9.51,10.01,13.0,0.59,13.92,7.19,2.37,2.96,2.0,1
24.07,59.83,9.5,9.99,13.0,0.67,8.75,13.37,1.91,2.89,2.0,3
32.98,88.49,9.5,9.99,13.01,0.67,10.45,16.72,2.24,3.26,2.0,3
39.29,146.1,9.5,9.99,13.0,0.48,10.74,16.08,2.83,3.9,2.01,1
30.77,80.76,9.53,10.03,13.08,0.48,16.2,13.5,2.42,3.18,1.98,1
31.91,46.08,9.51,10.02,13.0,0.63,14.87,11.14,1.81,2.17,2.0,3
25.36,39.49,9.52,9.85,13.04,0.65,12.42,11.47,1.7,2.08,2.0,0
26.37,51.37,9.83,10.32,9.12,0.74,13.18,15.19,1.84,2.44,2.0,0
41.64,69.84,9.6,10.15,5.02,0.64,8.22,19.66,1.99,2.77,2.0,3
60.29,99.83,9.54,10.06,4.93,0.71,8.9,24.19,2.41,3.08,2.0,3
84.89,137.8,9.65,9.93,5.01,0.5,9.17,26.53,2.93,3.45,2.0,1
87.69,140.27,9.51,10.05,5.1,0.59,10.68,22.89,3.1,3.37,1.98,1
90.75,145.52,10.45,10.6,5.34,0.16,13.24,23.74,2.99,3.19,1.96,2
66.85,103.82,11.81,13.89,5.53,0.5,9.82,21.56,2.38,2.82,1.9,1
54.62,84.09,10.47,11.54,5.25,0.24,11.64,17.87,2.42,2.96,2.0,1
74.16,111.95,10.88,10.78,5.19,0.82,18.45,17.24,2.74,3.28,1.85,1
67.0,114.79,11.94,12.9,5.63,0.74,12.39,20.02,3.23,3.99,1.98,1
103.57,162.16,14.29,15.08,6.76,0.7,12.35,19.0,3.15,3.69,2.0,1
128.64,202.77,11.96,14.02,6.05,0.66,10.06,19.17,2.99,3.0,2.0,2
86.0,132.04,11.49,12.72,5.63,0.54,13.79,17.99,2.62,2.7,2.0,2
28.77,44.31,11.17,12.31,5.95,0.72,4.02,13.14,1.61,1.62,1.93,1
24.95,35.96,12.59,14.74,6.11,0.77,4.81,16.97,1.6,1.8,1.98,0
39.26,47.36,12.76,13.75,6.29,0.71,7.47,16.45,1.77,2.09,2.0,3
30.72,38.24,10.88,11.28,5.37,0.64,6.67,22.0,1.76,2.1,1.96,3
41.03,51.31,12.58,12.41,5.8,0.81,5.42,24.54,1.74,1.98,1.98,3
49.45,64.66,13.29,13.0,6.2,0.65,5.64,23.2,1.89,1.81,1.98,3
58.96,85.25,13.08,14.96,6.77,0.72,6.09,24.27,2.1,2.03,1.98,3
63.18,80.52,12.08,12.09,5.65,0.68,5.98,19.51,1.68,1.58,1.93,1
108.34,125.24,11.99,11.94,5.61,0.62,7.66,20.05,2.09,1.91,2.0,1
52.95,69.41,13.13,13.09,5.98,0.63,6.56,26.89,2.08,2.13,2.0,1
62.11,84.25,11.19,12.12,5.7,0.61,5.04,23.21,2.0,2.0,2.0,3
69.27,101.77,12.78,13.24,5.93,0.53,7.18,23.26,2.02,1.84,1.98,1
97.42,128.35,9.53,9.83,5.18,0.64,7.05,32.52,1.78,1.63,1.9,2
52.73,76.1,10.3,10.53,5.3,0.74,6.27,48.65,1.72,1.74,2.0,1
58.57,84.32,10.44,10.62,4.87,0.8,6.96,46.13,1.69,1.65,1.96,3
77.3,105.41,10.48,10.73,5.17,0.73,11.3,53.99,1.68,1.62,1.98,1
80.31,106.95,9.62,10.78,5.07,0.64,11.47,66.65,1.59,1.57,1.96,1
80.8,107.95,10.05,10.88,5.15,0.75,10.01,66.7,1.62,1.62,1.98,1
71.17,97.83,9.78,10.78,4.97,0.4,7.65,31.33,1.56,1.34,1.75,1
71.0,98.3,9.93,10.0,5.04,0.59,8.42,24.9,1.75,1.47,2.0,1
94.38,137.93,9.91,10.38,5.1,0.42,15.79,40.21,2.62,2.4,1.98,1
80.8,115.13,9.91,10.44,8.93,0.3,12.54,7.82,2.77,2.78,1.9,1
78.22,110.89,9.63,10.03,11.99,0.62,11.43,27.0,2.61,2.97,1.82,1
96.86,134.78,9.35,10.02,11.99,0.11,8.12,36.13,3.43,3.81,2.0,2
65.12,95.22,9.51,9.67,12.16,0.28,11.92,32.48,2.25,2.44,1.85,1
33.39,47.36,10.21,10.43,11.87,0.6,6.75,38.56,1.74,1.8,2.0,3
36.74,46.3,9.75,9.77,11.99,0.57,7.53,8.63,1.76,1.7,2.0,3
24.14,31.7,9.89,10.12,12.01,0.62,6.32,22.11,1.51,1.52,1.9,0
56.17,80.34,9.68,10.05,11.94,0.68,20.5,23.77,2.11,1.84,1.92,3
55.79,76.73,9.78,9.74,12.02,0.47,6.87,39.56,2.14,2.09,2.0,1
55.64,80.28,9.37,10.19,11.99,0.73,10.87,36.72,2.02,2.14,2.0,3
44.56,73.05,9.55,9.99,12.1,0.8,17.99,17.71,2.29,2.78,1.94,3
47.0,61.51,9.67,10.01,12.06,0.4,6.24,25.62,1.83,2.09,2.0,3
31.25,83.72,9.17,9.89,11.99,0.66,6.54,20.19,1.45,1.55,1.86,3
64.93,108.1,9.57,10.17,11.96,0.68,7.84,15.94,2.09,2.01,1.94,1
37.05,69.74,9.44,10.04,12.0,0.63,15.16,22.56,1.87,1.92,1.95,3
21.05,40.05,9.72,10.07,11.92,0.8,7.78,39.9,1.59,1.84,2.0,3
27.42,50.66,9.68,10.01,11.99,0.73,7.05,40.09,1.5,1.54,1.83,3
43.96,77.9,9.54,9.93,12.01,0.6,8.46,43.35,1.85,1.82,2.0,3
71.6,130.66,10.19,10.17,11.96,0.7,11.04,43.22,2.35,2.3,2.0,1
45.03,82.9,9.88,10.69,11.83,0.73,15.78,38.27,1.88,2.08,1.83,1
61.56,94.0,10.19,10.77,12.31,0.64,11.17,32.32,2.11,2.12,2.0,3
42.4,55.89,10.76,10.82,11.96,0.64,10.61,23.37,1.66,1.67,2.0,3
20.48,36.13,9.53,10.7,11.84,0.98,6.87,28.73,1.64,1.87,2.0,3
27.36,57.69,10.0,10.35,11.8,0.55,6.8,31.21,1.69,1.81,1.96,3
21.43,139.43,10.12,10.15,12.09,0.47,9.95,27.1,1.96,1.7,1.93,1
67.56,103.84,27.82,21.0,14.74,0.49,6.95,37.74,2.09,2.14,2.0,1
55.53,94.4,17.32,12.2,12.12,0.54,7.43,33.11,1.74,1.7,2.05,3
74.16,128.7,18.61,11.48,12.04,0.46,8.99,39.2,1.85,1.76,1.94,1
62.25,102.49,17.94,13.47,12.09,0.33,7.3,41.35,1.83,1.85,2.0,1
92.15,166.94,17.97,11.59,12.4,0.9,9.69,43.9,2.15,2.14,1.95,1
113.54,160.38,17.18,11.18,11.99,0.21,10.05,42.74,2.99,2.63,2.0,2
63.68,115.75,17.14,10.13,12.03,1.03,7.86,42.74,1.94,2.09,1.98,1
84.93,187.15,17.48,10.4,12.02,0.3,9.07,35.77,2.31,2.22,2.0,1
38.88,136.28,18.01,13.17,12.36,0.5,2.5,37.25,1.71,1.79,2.0,1
42.33,117.43,17.64,11.27,12.13,0.76,10.04,35.09,1.63,1.63,2.05,1
33.14,100.08,16.9,10.48,11.82,0.66,8.33,39.73,1.58,1.68,2.0,1
41.33,123.92,17.35,10.41,11.92,0.78,10.64,43.24,1.91,2.19,2.0,1
69.4,154.93,17.22,10.43,12.04,0.44,10.13,45.83,2.41,2.76,1.98,1
66.39,145.96,18.06,11.42,12.09,0.87,9.98,45.62,2.11,2.42,1.96,1
59.59,144.61,17.56,11.48,12.19,0.74,11.15,50.25,2.0,2.07,2.0,1
58.55,134.7,19.04,13.05,12.23,0.76,9.63,32.13,1.8,1.93,2.0,1
71.27,156.66,21.07,14.77,12.55,0.31,9.85,30.07,1.79,1.9,1.9,1
58.17,133.37,19.01,13.89,12.37,1.33,7.4,27.53,1.72,2.12,2.0,1
67.24,142.34,17.4,11.73,12.18,0.64,11.92,29.72,1.7,1.97,1.96,1
26.4,83.14,19.15,12.31,12.12,0.62,11.35,30.35,1.53,1.92,2.0,1
22.15,83.69,17.9,12.55,12.16,0.83,21.92,29.65,1.44,1.86,1.98,3
32.33,97.38,17.54,11.96,12.02,0.78,9.91,29.66,1.55,1.83,1.98,3
33.46,103.81,18.06,11.38,11.77,0.61,10.78,30.09,1.61,1.81,1.98,1
55.5,135.96,17.43,10.82,11.8,0.44,13.85,32.2,1.81,1.85,1.94,1
22.09,74.89,17.71,11.96,11.84,0.72,14.65,30.07,1.44,1.56,2.0,3
17.61,61.51,17.42,11.14,12.0,0.74,11.49,27.23,1.38,1.47,1.98,3
17.0,61.08,17.79,11.2,12.16,0.82,8.51,29.45,1.39,1.51,1.98,3
25.44,77.68,17.05,11.41,12.1,0.82,11.62,30.24,1.46,1.76,2.0,3
20.71,72.89,17.35,11.81,12.14,0.82,6.74,32.77,1.43,1.75,2.0,3
43.24,115.85,18.82,12.66,12.29,0.73,9.44,34.08,1.66,2.02,2.0,3
40.15,107.64,18.14,13.18,11.88,0.62,8.1,30.16,1.65,1.99,1.96,1
17.08,70.36,17.22,11.62,11.8,0.78,8.52,36.31,1.39,1.59,2.0,3
21.05,70.22,18.49,11.98,11.71,0.7,12.75,32.14,1.38,1.7,1.98,3
25.65,83.27,17.4,12.99,12.15,0.73,21.74,32.95,1.47,1.87,2.0,3
38.07,106.34,17.57,12.39,11.97,0.68,9.82,33.3,1.57,1.94,1.98,3
41.78,109.94,18.18,10.31,12.02,0.72,9.56,31.27,1.57,1.84,2.0,1
45.62,118.05,17.72,10.48,11.93,0.64,9.77,30.51,1.46,1.71,1.83,1
39.08,107.8,17.38,10.28,11.98,0.62,16.11,30.29,1.58,1.94,2.0,1
40.61,110.94,17.07,10.97,12.0,0.48,27.59,31.58,1.8,2.12,2.0,1
33.78,100.73,17.69,11.47,12.03,0.68,23.06,26.71,1.55,2.03,1.98,3
24.57,77.22,17.13,11.39,11.98,0.7,19.46,31.11,1.48,2.01,2.0,3
30.12,85.69,17.86,10.34,11.93,0.84,9.34,31.26,1.43,1.88,2.0,3
26.35,75.6,18.2,10.94,12.09,1.27,7.73,29.78,1.43,1.69,1.98,3
15.6,61.47,18.43,10.79,11.96,0.86,6.41,28.07,1.36,1.67,2.0,3
22.63,72.7,17.79,11.82,11.84,0.73,7.16,32.26,1.41,1.72,2.0,3
20.29,60.78,21.42,13.83,12.79,0.73,6.22,25.63,1.35,1.62,1.94,3
12.03,54.63,19.93,12.76,12.33,0.76,6.2,22.84,1.34,1.53,2.01,3
17.74,63.75,17.36,11.56,12.19,0.76,6.7,22.1,1.37,1.67,1.98,3
21.35,68.57,17.8,11.05,12.07,0.71,7.21,22.14,1.37,1.66,1.98,3
21.91,70.76,17.8,10.68,11.97,0.78,6.82,22.14,1.38,1.54,2.0,3
14.18,60.07,18.48,10.29,12.1,0.77,6.3,22.14,1.32,1.59,1.98,3
13.97,63.92,17.69,10.82,11.74,0.78,6.22,22.14,1.34,1.58,2.01,3
17.52,61.42,17.88,10.69,12.16,0.76,6.57,22.14,1.34,1.61,1.98,3
22.8,50.68,17.62,10.84,12.01,0.69,7.4,22.14,1.42,1.78,2.0,3
34.73,68.87,16.81,10.78,11.93,0.69,8.68,22.14,1.52,1.89,1.94,3
20.09,34.55,18.33,11.21,12.03,0.85,8.49,22.14,1.4,1.55,2.0,0
29.47,59.84,17.65,11.55,12.12,0.59,9.63,22.14,1.65,1.98,2.0,3
22.37,50.46,17.34,10.67,12.09,0.64,6.33,22.14,1.21,1.4,1.79,3
32.05,75.31,20.86,18.96,15.16,0.73,6.55,23.62,1.26,1.5,1.83,3
22.61,48.2,23.03,17.01,14.86,0.73,7.65,36.07,1.39,1.75,2.0,3
17.45,38.01,18.7,11.4,12.66,0.7,7.76,42.81,1.38,1.47,1.98,0
8.8,18.03,21.51,11.43,12.4,0.8,5.88,43.02,1.32,1.42,2.0,0
11.33,30.5,18.12,11.33,12.74,0.82,8.85,43.02,1.35,1.54,2.0,0
16.35,56.92,17.86,12.25,11.95,0.68,9.64,43.02,1.37,1.54,2.0,3
9.84,39.79,19.48,13.03,12.24,0.79,13.02,43.02,1.33,1.43,2.0,0
13.72,51.33,21.63,14.02,12.69,0.74,9.17,43.02,1.36,1.6,2.0,0
14.67,59.48,23.49,16.84,12.8,0.84,8.59,43.02,1.31,1.15,2.0,3
20.68,78.36,20.44,16.25,12.53,0.67,8.94,43.02,1.3,1.1,2.0,3
15.74,67.22,22.04,16.48,13.38,0.77,17.19,43.02,1.29,1.09,1.98,3
14.78,54.18,19.74,15.44,12.11,0.69,11.17,43.02,1.3,1.1,5.05,3
11.2,42.21,38.1,32.33,19.36,0.75,6.42,44.12,1.25,1.06,8.48,3
13.63,52.77,28.22,21.57,14.54,0.79,7.08,43.57,1.3,1.1,8.81,3
24.61,86.73,26.75,19.19,14.53,0.76,9.0,43.57,1.3,1.1,8.72,3
23.98,112.59,25.07,17.26,13.57,0.76,8.5,43.57,1.3,1.1,8.81,1
32.01,141.16,20.93,14.93,12.8,0.78,9.5,43.57,1.3,1.1,8.72,1
28.37,114.11,20.75,16.36,12.73,0.63,8.45,43.57,1.29,1.09,8.72,1
15.46,65.47,23.93,18.66,13.06,0.78,7.07,26.82,1.29,1.09,8.72,3
19.64,72.31,19.2,16.05,12.8,0.81,8.64,27.11,1.29,1.09,8.67,3
18.81,74.73,19.59,14.69,12.13,0.73,7.44,27.1,1.3,1.1,8.72,3
23.32,76.19,19.26,12.39,12.35,0.82,10.3,27.11,1.3,1.1,8.72,3
18.39,48.21,33.61,26.95,18.62,0.73,8.99,37.82,1.23,1.04,8.23,3
34.0,83.68,30.38,24.27,15.15,0.83,10.06,43.77,1.3,1.1,8.81,3
37.31,87.52,22.45,18.78,13.86,0.75,10.47,43.73,1.29,1.09,8.72,3
39.62,91.93,20.3,13.69,12.41,0.7,10.16,43.77,1.3,1.1,8.82,3
32.14,70.6,20.67,15.65,12.66,0.67,7.82,43.77,1.3,1.1,8.72,3
24.59,49.58,21.79,16.79,13.27,0.82,9.74,43.77,1.3,1.1,8.82,3
44.76,86.65,19.55,15.63,12.96,0.74,9.08,43.77,1.27,1.08,8.63,3
42.22,78.34,21.56,15.84,12.57,0.61,9.03,43.77,1.3,1.1,8.81,3
21.61,43.74,22.88,15.94,12.76,0.91,9.9,43.77,1.3,1.1,8.72,3
35.91,69.27,20.01,14.83,12.49,0.75,9.26,43.77,1.3,1.1,8.81,3
39.96,77.29,20.35,15.98,12.66,0.75,11.8,43.77,1.3,1.1,8.81,3
44.56,76.97,22.31,17.48,12.49,0.67,26.68,43.77,1.06,0.89,6.88,3
34.55,59.21,21.5,14.96,12.55,0.69,22.25,52.91,1.3,1.1,8.81,3
43.35,68.58,21.26,15.0,12.84,0.69,11.86,64.78,1.3,1.1,8.72,3
52.58,81.31,20.08,15.55,12.53,0.68,10.76,64.78,1.3,1.1,8.82,3
68.2,113.31,19.12,13.29,12.35,0.62,23.16,41.89,1.29,1.09,8.72,1
54.78,96.64,18.45,12.8,11.97,0.48,18.35,17.0,1.3,1.1,8.82,1
29.01,55.05,18.64,11.41,12.15,0.61,19.01,17.0,1.22,1.03,8.26,3
16.29,72.17,17.69,10.6,12.27,0.76,17.75,17.0,1.3,1.1,8.82,3
51.47,90.41,18.07,10.31,12.29,0.97,34.05,17.0,1.29,1.09,8.63,3
37.21,66.23,16.63,10.97,11.95,0.56,14.45,17.0,1.3,1.1,8.81,3
43.68,108.29,17.75,10.33,12.14,0.49,10.98,17.0,1.3,1.1,8.72,3
29.99,77.22,19.41,11.22,11.92,0.73,12.3,17.0,1.3,1.1,8.72,3
24.14,51.65,20.17,14.87,12.57,0.66,6.28,17.0,1.3,1.1,8.82,3
13.33,25.58,27.84,22.14,14.22,0.63,8.09,17.0,1.3,1.1,8.72,0
19.12,33.74,30.02,39.8,17.15,0.71,11.8,22.8,1.23,1.04,8.33,0
26.84,152.97,23.06,21.62,13.99,0.68,17.71,28.48,1.3,1.1,8.81,3
26.72,486.99,20.32,12.54,12.08,0.58,10.48,36.15,1.3,1.1,8.72,4
30.13,167.85,20.82,15.08,13.01,0.74,16.68,33.88,1.22,1.03,8.27,1
20.75,29.73,24.69,21.48,14.25,0.72,10.49,40.04,1.3,1.1,8.82,3
15.5,24.76,21.22,15.84,13.12,0.77,8.67,39.85,1.3,1.1,8.72,0
26.99,43.07,21.13,15.1,12.77,0.59,6.56,40.04,1.3,1.1,8.81,0
27.07,59.04,19.32,13.52,12.57,0.59,8.56,39.64,1.29,1.09,8.63,3
27.87,96.72,16.68,9.17,12.01,0.71,12.02,30.79,1.29,1.09,8.53,3
24.76,93.78,16.61,8.31,11.93,0.65,10.76,32.52,1.3,1.1,8.82,1
31.92,96.98,15.92,8.01,12.06,0.69,10.86,32.52,1.3,1.1,8.72,3
28.49,108.35,16.93,7.97,12.0,0.75,16.73,32.52,1.3,1.1,8.81,1
37.0,119.96,19.94,16.04,13.83,0.68,13.24,31.49,1.21,1.02,8.08,1
40.46,131.87,31.85,26.2,15.21,0.73,9.2,16.56,1.3,1.1,8.82,1
34.6,123.23,21.98,18.43,13.91,0.74,12.51,16.48,1.3,1.1,8.72,1
47.94,169.06,19.11,12.63,12.34,0.62,10.92,16.48,1.3,1.1,8.82,1
55.58,88.74,58.55,53.34,23.22,0.71,5.53,16.48,1.3,1.1,8.72,1
39.81,95.02,23.84,18.72,14.43,0.68,4.64,16.48,1.3,1.1,8.72,3
68.81,312.18,18.9,12.03,12.64,0.67,4.36,16.48,1.3,1.1,8.82,1
23.77,69.62,17.0,9.97,12.08,0.59,7.21,16.48,1.2,1.02,7.97,1
31.68,57.96,18.0,10.71,11.94,0.74,5.83,16.48,1.3,1.1,8.82,3
32.85,151.19,23.35,18.01,13.71,0.66,4.79,16.48,1.29,1.08,8.54,3
45.24,40.0,23.11,17.9,13.25,0.63,5.22,16.48,1.16,0.98,7.85,3
26.77,60.69,26.99,19.83,14.94,0.67,4.89,16.48,1.3,1.1,8.81,0
41.64,76.49,22.03,15.97,13.29,0.69,4.67,16.48,1.3,1.1,8.72,3
