PM2.5,PM10,NO,NO2,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI_Bucket
62.08,152.59,10.08,62.18,19.42,0.05,8.97,34.93,0.16,4.65,0.13,1
50.64,130.36,6.48,45.52,19.89,0.07,10.61,40.57,0.18,3.9,0.11,1
44.21,119.52,3.63,34.37,23.31,0.07,5.86,31.73,0.09,3.54,0.06,1
50.71,115.65,7.91,35.16,11.19,0.06,8.16,32.58,0.13,3.19,0.08,1
42.27,100.54,4.95,30.69,13.4,0.66,8.99,32.18,0.12,2.8,0.09,1
39.41,101.1,3.21,28.53,17.9,0.81,5.86,28.72,0.12,3.07,0.11,1
50.56,116.89,6.93,37.27,11.05,0.97,5.25,23.36,0.08,2.3,0.1,3
50.54,120.05,2.91,26.96,13.02,0.9,17.9,36.66,0.1,2.28,0.21,1
26.22,62.82,2.24,20.1,12.32,0.61,8.25,23.74,0.07,3.07,0.12,3
31.83,66.74,2.76,16.83,11.9,0.61,5.87,24.72,0.05,2.64,0.11,3
70.26,112.29,0.4,11.87,13.05,0.62,7.29,31.4,0.06,2.1,0.1,1
59.47,99.73,0.54,12.85,11.94,0.68,7.62,30.57,0.04,1.88,0.11,1
58.71,99.04,0.41,13.88,11.99,0.86,6.89,36.2,0.12,1.84,0.1,1
56.29,107.96,0.25,16.71,10.89,0.95,12.91,48.39,0.16,2.37,0.1,1
50.41,118.62,1.68,25.6,20.24,0.69,11.81,33.46,0.17,3.82,0.11,1
57.53,128.81,1.94,25.03,33.72,0.78,25.39,31.15,0.15,3.02,0.14,1
43.82,97.19,1.45,16.01,22.52,0.67,17.62,27.62,0.09,2.52,0.12,1
42.71,80.24,15.9,17.35,24.68,0.49,9.53,30.68,0.1,3.09,0.12,3
54.73,94.12,3.49,12.79,22.79,0.58,8.21,30.21,0.08,2.23,0.15,3
50.91,99.84,4.55,16.33,23.18,0.64,10.34,26.24,0.1,2.51,0.1,3
38.5,106.7,4.5,16.82,19.54,0.58,11.02,26.62,0.1,2.68,0.11,3
32.21,107.43,7.39,17.33,18.13,0.6,11.81,24.84,0.12,3.28,0.13,1
35.36,107.25,6.13,17.75,16.57,0.85,10.87,23.99,0.09,2.92,0.2,1
59.65,127.26,8.21,19.14,20.46,0.7,10.82,21.64,0.16,2.67,0.15,1
39.52,113.31,19.35,21.18,18.5,0.81,15.02,18.8,0.15,2.65,0.2,1
43.08,116.06,5.34,19.02,22.46,0.79,22.7,25.64,0.09,2.16,0.12,1
38.1,97.0,7.1,22.21,19.27,0.79,13.89,22.73,0.06,2.12,0.11,3
33.08,83.16,5.37,18.83,14.52,0.72,8.98,23.63,0.05,2.04,0.1,3
29.7,77.45,4.45,17.33,12.72,0.65,9.71,29.26,0.05,1.85,0.1,3
38.67,82.67,4.45,22.81,12.41,0.66,12.63,22.9,0.06,2.18,0.11,3
30.04,83.07,11.58,24.74,12.52,0.78,8.98,17.81,0.05,1.91,0.21,3
39.72,103.81,19.66,26.29,14.03,0.81,9.68,17.53,0.11,2.46,0.17,3
38.21,78.95,5.71,19.03,14.15,0.75,8.03,22.81,0.05,2.19,0.1,3
58.31,124.64,11.93,28.85,14.0,1.03,10.21,22.24,0.12,2.38,0.16,1
62.49,113.56,8.08,22.65,16.53,0.91,12.68,26.26,0.09,2.18,0.12,1
49.04,102.46,5.75,19.92,14.09,0.64,6.82,26.52,0.1,2.5,0.1,1
41.67,80.09,2.74,13.08,13.51,0.78,8.35,30.38,0.11,2.08,0.1,3
32.44,75.3,6.01,19.07,12.65,0.68,7.75,21.52,0.09,2.72,0.15,3
26.43,80.85,10.73,20.82,11.64,0.72,9.43,16.52,0.08,2.24,0.13,3
25.08,60.67,7.17,15.22,14.1,0.56,8.63,13.8,0.05,2.19,0.12,3
26.09,63.05,4.9,10.42,10.74,0.58,11.33,21.38,0.02,1.26,0.1,3
49.58,82.95,4.98,19.05,13.47,0.7,12.47,20.32,0.09,2.18,0.22,3
43.52,80.01,6.41,20.43,13.75,0.8,10.57,23.36,0.12,2.6,0.29,3
39.83,76.09,4.63,14.37,13.34,0.7,8.89,23.13,0.09,2.71,0.1,3
36.89,76.61,6.62,18.83,13.96,0.57,7.04,13.58,0.06,2.88,0.1,3
52.69,94.25,4.69,14.44,15.35,0.59,16.81,19.03,0.01,1.48,0.1,3
46.48,95.41,4.35,14.79,15.02,0.6,15.55,21.04,0.03,1.62,0.16,3
44.22,77.62,3.56,8.53,14.58,0.73,9.61,23.87,0.02,1.28,0.1,3
39.05,81.51,3.43,9.86,10.94,0.68,7.26,23.74,0.05,2.2,0.13,3
30.21,67.22,5.11,11.29,11.24,0.58,13.19,20.89,0.01,1.96,0.1,3
31.14,60.35,4.25,10.36,11.8,0.83,14.42,20.99,0.02,1.69,0.1,3
24.23,52.06,4.32,14.33,8.17,0.56,9.95,23.86,0.04,1.38,0.1,3
22.29,55.96,4.38,11.27,10.88,0.67,8.08,19.63,0.03,1.85,0.1,3
25.28,54.59,4.93,9.65,12.44,0.72,8.7,19.64,0.01,1.5,0.1,3
24.4,70.25,5.01,10.84,10.27,0.74,7.4,13.13,0.0,1.11,0.1,3
23.72,55.74,4.18,8.86,10.54,0.81,6.71,19.29,0.0,0.99,0.1,3
26.12,56.77,4.8,11.71,9.83,0.5,6.88,14.32,0.0,1.14,0.12,3
12.42,36.29,4.47,10.28,4.63,0.51,5.82,36.88,0.03,0.21,0.15,3
15.2,45.09,4.69,9.26,8.99,1.18,6.82,54.21,2.11,0.06,4.47,1
25.62,56.44,4.28,13.88,11.52,0.48,7.3,44.62,0.44,0.34,8.45,3
40.32,66.25,4.36,11.3,10.61,0.5,7.57,24.35,39.22,4.47,8.46,3
13.07,37.35,3.8,8.59,9.78,0.46,6.09,29.05,28.37,5.06,4.02,3
16.56,41.96,3.03,7.25,9.48,0.41,6.48,62.01,35.84,0.44,1.52,1
19.57,44.72,3.72,7.72,10.79,0.34,5.99,64.58,53.89,26.79,125.18,1
27.42,57.28,3.36,19.38,7.89,0.32,6.83,77.6,16.54,8.98,89.7,1
31.26,72.82,2.6,10.78,9.02,0.4,7.7,100.25,6.66,1.0,47.94,1
28.12,70.21,2.67,13.18,11.27,0.38,7.28,126.43,4.24,6.34,22.67,1
18.81,55.66,3.91,11.7,11.32,1.01,5.53,62.72,0.23,0.26,0.1,3
18.09,45.11,3.0,7.26,9.25,1.0,6.14,64.6,0.4,0.24,0.1,3
16.86,48.26,2.98,8.54,10.01,0.52,7.12,50.39,0.36,0.22,0.1,3
16.46,33.5,5.95,17.41,11.74,0.61,4.72,40.44,0.48,0.5,0.3,3
18.4,49.43,4.29,13.66,13.37,0.38,5.51,48.0,0.4,0.28,0.1,3
20.31,49.14,3.84,12.76,12.81,0.41,7.54,61.59,0.39,0.25,0.1,3
23.99,46.59,3.45,16.64,15.06,0.51,5.01,46.14,0.34,0.32,0.13,3
20.36,41.99,4.47,15.53,13.73,0.52,6.62,53.13,0.32,0.27,0.11,3
15.08,38.79,5.11,13.96,10.28,0.4,4.9,44.36,0.32,0.25,0.11,3
19.42,69.33,5.64,13.23,10.96,0.41,5.6,47.28,0.29,0.25,0.1,3
13.93,48.97,5.11,10.72,11.11,0.33,6.52,44.77,0.3,0.25,0.1,3
18.29,41.01,6.12,17.63,13.21,0.63,6.53,37.35,0.32,0.29,0.13,3
17.25,32.02,2.58,6.82,11.04,0.37,4.65,65.23,0.29,0.2,0.2,3
16.89,30.98,2.61,6.37,10.19,0.39,6.75,54.84,0.35,0.87,4.88,3
15.95,25.24,7.52,7.16,16.27,0.64,8.77,37.76,0.28,0.12,0.1,3
8.68,26.62,2.19,5.01,12.07,0.31,6.29,19.52,0.2,0.06,0.1,0
10.45,41.47,4.1,11.13,14.62,0.47,9.94,28.24,0.21,0.09,0.1,0
14.48,35.5,5.28,12.77,12.61,0.5,9.81,24.28,0.19,0.07,0.1,0
17.96,47.61,5.68,14.95,14.75,0.69,6.51,32.73,0.19,0.12,0.15,3
17.42,56.44,5.71,16.26,15.6,0.47,11.83,28.85,0.21,0.11,0.1,3
17.79,68.97,7.15,16.25,14.24,0.62,10.42,26.08,0.16,0.08,0.2,3
17.74,80.26,10.41,20.1,18.23,0.49,10.98,27.33,0.2,0.19,0.1,3
21.78,76.32,5.21,20.63,18.8,0.44,9.64,25.7,0.16,0.18,0.1,3
28.31,98.01,9.45,24.83,18.71,0.54,6.69,31.12,0.13,0.12,0.1,3
27.1,112.48,9.04,23.91,21.23,0.47,12.6,23.43,0.16,0.22,0.1,1
20.21,91.71,4.66,16.41,18.05,0.34,6.74,29.91,0.12,0.08,0.1,3
18.52,51.48,6.99,18.33,20.07,0.43,12.46,28.73,0.13,0.1,0.1,3
25.59,70.1,10.33,21.95,21.89,0.5,8.64,26.4,0.13,0.14,0.12,3
21.79,75.21,4.79,15.65,19.74,0.38,11.1,30.57,0.12,0.08,0.2,3
18.47,52.91,7.36,16.89,16.57,0.8,11.49,22.14,0.11,0.09,0.1,1
16.73,40.15,6.61,16.05,19.69,0.44,9.02,20.11,0.11,0.07,0.13,0
18.72,57.71,7.08,25.46,22.11,0.42,12.33,18.28,0.12,0.15,0.1,0
11.39,28.72,4.4,11.2,24.46,0.39,9.47,21.17,0.12,0.07,0.1,0
10.62,19.96,3.71,9.32,17.43,0.59,10.32,14.62,0.07,0.03,0.1,0
9.28,16.42,5.01,7.85,14.27,0.92,8.12,12.29,0.04,0.03,0.1,3
7.45,20.5,3.99,8.92,14.63,0.88,8.35,16.01,0.05,0.04,0.1,3
15.32,45.04,3.13,10.48,15.07,0.88,8.93,14.12,0.1,0.06,0.1,3
11.39,24.61,3.02,7.96,13.6,0.96,11.82,26.34,0.1,0.02,0.1,3
12.51,32.52,2.71,6.6,14.61,0.86,9.47,28.28,0.1,0.02,0.1,3
8.71,14.17,1.36,6.04,20.04,1.03,8.12,22.3,0.1,0.01,0.1,3
7.0,7.8,1.7,7.66,17.12,1.08,8.39,17.77,0.09,0.0,0.1,3
15.76,40.74,4.78,19.03,16.38,1.36,9.46,23.34,0.1,0.09,0.15,3
18.79,60.26,5.2,20.45,18.52,1.1,10.01,22.54,0.1,0.07,0.1,3
10.1,23.92,4.73,13.33,19.26,0.87,9.24,20.67,0.1,0.08,0.1,3
14.43,43.47,6.66,16.04,17.73,0.95,9.76,24.54,0.09,0.06,0.13,3
22.65,57.46,4.52,16.8,19.88,1.18,8.89,29.44,0.1,0.08,0.1,3
28.45,81.89,6.68,19.36,20.7,1.39,9.78,29.76,0.1,0.07,0.1,3
24.94,69.22,3.56,19.99,20.42,1.4,11.98,28.1,0.04,0.06,0.1,3
26.24,62.75,4.63,21.34,24.55,1.68,11.17,27.98,0.07,0.12,0.1,3
30.6,76.16,7.16,24.63,22.37,1.71,11.64,24.36,0.11,0.18,0.12,3
24.22,86.08,9.81,26.49,21.11,1.68,11.54,26.93,0.09,0.1,0.1,3
31.3,101.05,9.49,25.22,18.06,1.48,11.06,35.61,0.08,0.16,0.1,3
27.1,89.38,11.58,21.31,23.69,1.54,10.21,28.77,0.08,0.11,0.1,1
33.28,75.5,10.44,32.4,23.03,1.11,8.91,30.15,0.07,0.07,0.1,3
40.56,66.97,2.56,17.56,22.66,0.62,11.29,37.87,0.07,0.11,0.1,3
37.93,67.4,3.85,20.86,19.44,0.78,8.91,34.81,0.07,0.17,0.14,3
31.64,69.39,2.6,18.65,24.14,0.66,9.58,39.56,0.06,0.07,0.1,3
35.02,71.42,2.84,21.04,19.86,0.74,6.28,41.37,0.02,0.03,0.1,3
24.29,50.33,3.45,13.45,18.22,0.97,14.1,47.86,0.03,0.07,0.1,3
26.13,60.44,8.3,22.94,19.43,0.82,27.0,30.84,0.03,7.96,12.4,3
24.08,45.81,8.17,27.49,18.56,0.84,13.47,27.49,0.03,0.07,0.12,3
25.88,56.44,6.94,17.79,15.01,0.84,12.41,27.48,0.04,0.21,0.1,3
49.7,109.35,8.38,25.91,17.96,0.76,14.31,46.63,0.05,0.16,0.1,3
65.16,184.84,22.45,52.69,18.53,1.07,25.5,37.46,0.08,0.14,0.1,1
52.88,172.08,5.52,26.45,21.36,0.81,31.74,57.33,0.04,0.05,0.1,1
40.99,122.69,4.32,29.54,17.01,0.6,24.37,44.5,0.06,0.08,0.1,1
39.22,102.6,4.9,24.58,22.01,0.95,10.6,25.73,0.0,0.06,0.1,1
36.86,76.61,8.26,27.36,20.86,1.09,9.33,21.11,0.02,0.12,0.14,3
34.41,72.03,10.35,25.38,19.19,1.07,10.8,21.99,0.02,0.19,0.28,3
56.53,128.8,9.84,36.38,16.01,1.18,13.43,41.17,0.08,0.15,0.1,1
69.42,167.05,1.79,45.82,14.06,1.35,23.42,39.0,0.07,0.38,0.14,1
53.53,119.1,1.52,38.23,13.73,0.88,15.52,37.22,0.07,0.28,0.14,1
48.33,115.41,1.38,36.77,15.37,1.16,28.74,37.42,0.08,0.22,0.1,1
58.65,125.68,1.23,36.24,14.82,1.26,14.54,31.09,0.07,0.13,0.13,1
21.58,68.71,20.4,39.44,3.41,0.73,10.43,19.42,0.0,0.07,0.1,3
23.22,64.84,20.42,39.56,2.15,0.89,10.33,21.33,0.01,0.11,0.1,3
51.51,111.28,20.08,57.93,2.03,1.07,12.3,26.53,0.04,0.11,0.1,1
56.85,115.5,16.11,62.91,2.73,0.82,18.89,27.44,0.03,0.09,0.1,1
68.25,129.41,15.11,65.0,3.53,1.22,25.14,30.3,0.08,0.29,0.1,1
84.48,164.24,14.25,80.74,3.19,1.21,30.44,33.39,0.1,0.39,0.25,1
77.38,173.47,22.55,75.54,4.88,1.15,30.69,35.94,0.09,0.29,0.16,1
71.23,160.66,15.11,89.44,3.45,1.48,38.91,32.4,0.12,0.56,0.2,1
19.48,46.57,14.56,35.92,10.76,0.84,7.49,15.47,0.01,0.07,0.1,3
85.11,183.15,9.11,97.16,3.61,1.28,17.17,37.99,0.1,0.23,0.11,1
93.95,190.73,19.47,105.22,3.81,1.81,20.78,39.9,0.11,0.3,0.15,1
80.96,152.44,4.73,89.01,2.95,1.51,15.71,41.41,0.12,0.26,0.11,2
77.86,159.49,10.69,90.28,4.66,1.16,14.21,22.45,0.1,0.5,0.13,1
70.89,125.4,3.58,68.12,1.79,1.17,13.87,29.82,0.07,0.44,0.12,1
74.34,129.57,4.54,69.78,3.38,1.09,14.03,33.95,0.09,0.12,0.1,1
97.09,143.69,4.09,86.95,1.52,1.11,13.62,33.03,0.1,0.12,0.12,1
111.21,170.04,4.42,76.7,10.99,1.47,10.17,31.17,0.06,0.06,0.1,2
107.24,162.72,5.85,72.27,13.91,1.14,9.58,28.5,0.09,0.04,0.1,2
89.07,160.83,5.59,72.19,17.31,1.23,11.7,29.51,0.07,0.05,0.1,2
90.61,164.19,5.37,74.89,16.85,1.07,17.68,31.59,0.11,0.3,0.15,1
96.57,174.31,3.33,57.77,18.28,1.1,23.81,39.75,0.11,0.11,0.1,2
48.88,84.99,6.61,63.12,19.24,0.94,29.45,23.97,0.06,0.16,0.11,3
55.24,81.9,3.65,55.65,17.93,1.17,13.62,27.34,0.07,0.15,0.1,3
83.4,121.25,2.86,46.47,20.01,1.0,12.32,32.68,0.08,0.21,0.1,1
93.78,142.65,5.55,67.51,19.51,1.34,42.75,29.16,0.1,0.21,0.1,1
92.72,135.61,13.43,77.45,19.49,1.16,20.19,24.79,0.1,0.22,0.11,2
73.19,127.1,13.43,69.17,21.66,0.92,25.43,22.5,0.07,0.22,0.1,1
82.53,145.06,5.44,67.17,21.34,1.01,28.57,24.03,0.09,0.19,0.13,1
95.18,154.73,4.57,76.4,15.29,1.34,33.25,30.68,0.1,0.36,0.15,2
79.29,136.71,4.24,74.24,15.82,1.1,40.52,28.79,0.09,0.23,0.16,1
83.17,140.9,6.56,83.38,15.16,1.09,30.85,24.84,0.1,0.21,0.11,1
109.97,189.28,13.93,124.57,10.65,1.38,48.92,30.25,0.11,0.25,0.13,2
139.38,230.27,35.59,140.17,8.7,1.24,42.26,20.87,0.13,0.58,0.13,5
126.47,187.83,9.48,106.1,9.27,1.43,15.29,26.24,0.12,0.25,0.1,5
127.94,196.3,6.73,92.41,11.1,1.33,15.9,28.51,0.11,0.31,0.1,5
126.66,184.73,9.63,94.51,13.66,1.45,11.75,26.07,0.12,0.22,0.1,5
121.47,215.5,17.24,103.31,13.63,1.5,16.53,24.55,0.12,0.31,0.1,5
118.17,219.63,36.87,121.38,11.21,1.25,39.68,21.18,0.1,0.25,0.13,2
97.45,225.75,12.68,121.94,10.39,0.86,66.39,27.23,0.09,0.16,0.18,2
115.23,198.47,14.96,113.39,7.38,0.78,9.43,20.07,0.11,0.23,0.13,2
121.81,193.4,11.17,100.16,8.62,0.96,10.56,24.73,0.1,0.15,0.1,5
99.69,157.03,5.83,71.61,15.19,0.5,10.52,24.22,0.08,0.08,0.1,2
92.66,146.49,4.86,57.32,17.36,0.64,12.33,25.51,0.07,0.18,0.1,2
116.99,172.92,2.91,58.43,17.38,0.44,12.91,26.84,0.1,0.12,0.1,2
120.33,182.65,5.68,60.37,17.46,1.02,26.39,21.83,0.08,0.14,0.11,5
108.43,159.44,3.49,50.62,17.97,0.7,6.49,24.73,0.08,0.13,0.1,2
118.0,174.01,3.46,58.6,16.97,0.82,13.73,24.69,0.1,0.18,0.1,2
107.94,163.17,5.64,63.17,18.79,0.8,26.75,21.59,0.08,0.15,0.1,2
108.34,173.27,13.44,61.22,22.53,0.72,11.71,23.64,0.09,0.13,0.1,2
96.45,159.1,17.23,71.77,17.22,0.91,16.0,22.52,0.07,0.11,0.1,2
100.34,165.55,20.01,60.14,20.43,0.85,13.57,24.82,0.06,0.08,0.1,2
